iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.49102650e-01 5.32275440e-01 3.51862247e-01 4.42505860e-01
 1.26365170e-01 7.05782641e-01 3.28392788e-05 1.93542692e-01]",0.37323226712415475,"[ 0.08152394 -0.06711442 -0.10574591 -0.05715667 -0.06031623 -0.03934276
 -9.95       -0.01528146]","[7.866181805906631, 1.17544617477631, 0.7177708311333079, 6.126811432694068, 6.03157091444159, 3.7202540286097716, 8.332141143476711, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 4.985257513401063, 5.917247866866835, 4.210537199417766, 4.282750081662574, 6.911177412247816, 8.036303735405602, 0.4287335211543177, 1.7503683571293736, 0.6624571505958207, 3.0924220404382603, 12.776293750405086, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",4.174205406876463,-2.9201087067614258
2,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.51118973e-01 5.25551237e-01 3.36138510e-01 4.37403694e-01
 1.18300242e-01 6.93649386e-01 3.29562646e-05 1.85236006e-01]",0.3489770521679399,"[ 0.13145493 -0.11698111 -0.15559867 -0.10705762 -0.11018283 -0.08924213
 -9.95000002 -0.06518905]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.8762581993642717
3,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.53071006e-01 5.18945146e-01 3.21014224e-01 4.32397263e-01
 1.10713948e-01 6.82162618e-01 3.30370284e-05 1.77321286e-01]",0.32581842088906393,"[ 0.18126988 -0.16661304 -0.20519621 -0.15678727 -0.15982486 -0.13897349
 -9.95000005 -0.11494197]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.8353457226898864
4,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.54953955e-01 5.12474317e-01 3.06537661e-01 4.27501674e-01
 1.03610156e-01 6.71340950e-01 3.30833580e-05 1.69810182e-01]",0.3038142645682809,"[ 0.23092163 -0.2158991  -0.25442432 -0.2062692  -0.20915115 -0.18847053
 -9.95000007 -0.16447842]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.7972972927578863
5,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.56763859e-01 5.06154613e-01 2.92745473e-01 4.22730379e-01
 9.69856523e-02 6.61192759e-01 3.30971303e-05 1.62708152e-01]",0.2830056825653438,"[ 0.28036334 -0.26471839 -0.30316381 -0.25542313 -0.25807191 -0.23766902
 -9.95000009 -0.21373787]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.7620233266265264
6,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.58497633e-01 5.00000661e-01 2.79662980e-01 4.18095238e-01
 9.08312695e-02 6.51717033e-01 3.30803014e-05 1.56015153e-01]",0.26341823027555583,"[ 0.32954905 -0.31294031 -0.3512918  -0.30416553 -0.30650002 -0.28650774
 -9.9500001  -0.26266175]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.729420695559312
7,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.60153109e-01 4.94025923e-01 2.67304779e-01 4.13606607e-01
 8.51330047e-02 6.42904392e-01 3.30348953e-05 1.49726405e-01]",0.2450634131619224,"[ 0.37843411 -0.36042488 -0.39868322 -0.35241019 -0.35435217 -0.3349293
 -9.95000008 -0.3111941 ]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.699374862356805
8,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.61729052e-01 4.88242769e-01 2.55675604e-01 4.09273455e-01
 7.98730712e-02 6.34738214e-01 3.29629883e-05 1.43833190e-01]",0.22794031973373236,"[ 0.42697562 -0.40702332 -0.44521243 -0.40006886 -0.40154991 -0.38288083
 -9.95000005 -0.3592821 ]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.671762032503068
9,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.63225164e-01 4.82662559e-01 2.44771383e-01 4.05103480e-01
 7.50308689e-02 6.27195825e-01 3.28666904e-05 1.38323630e-01]",0.21203728382577344,"[ 0.47513285 -0.45257886 -0.49075474 -0.4470521  -0.4480205  -0.43031452
 -9.94999999 -0.40687654]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.6464512584097046
10,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.64642060e-01 4.77295705e-01 2.34580410e-01 4.01103230e-01
 7.05838497e-02 6.20249712e-01 3.27481228e-05 1.33183422e-01]",0.19733347392481332,"[ 0.52286757 -0.49692804 -0.53518812 -0.49327005 -0.49369762 -0.47718797
 -9.94999991 -0.4539322 ]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.6233064486233393
11,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.65981216e-01 4.72151717e-01 2.25084569e-01 3.97278207e-01
 6.65082720e-02 6.13868693e-01 3.26093951e-05 1.28396504e-01]",0.18380032388909007,"[ 0.57014425 -0.53990231 -0.57839471 -0.53863345 -0.53852188 -0.52346449
 -9.94999979 -0.50040813]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.60218824773917
12,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.67244897e-01 4.67239234e-01 2.16260563e-01 3.93632953e-01
 6.27798399e-02 6.08019018e-01 3.24525823e-05 1.23945636e-01]",0.17140274346429596,"[ 0.6169303  -0.58133009 -0.62026225 -0.58305454 -0.58244116 -0.56911315
 -9.94999963 -0.54626785]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.582955766348226
13,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.68436072e-01 4.62566018e-01 2.08081090e-01 3.90171124e-01
 5.93742318e-02 6.02665369e-01 3.22797043e-05 1.19812885e-01]",0.16010007657465056,"[ 0.66319611 -0.62103923 -0.66068548 -0.6264482  -0.6254108  -0.61410874
 -9.94999945 -0.59147945]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.56546815232081
14,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.69558303e-01 4.58138929e-01 2.00515931e-01 3.86895538e-01
 5.62675238e-02 5.97771738e-01 3.20927083e-05 1.15980034e-01]",0.1498468084674698,"[ 0.70891508 -0.65885987 -0.6995672  -0.66873297 -0.66739359 -0.65843162
 -9.94999922 -0.63601564]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.549586004131601
15,"[0.89705836 0.43900974 0.15018909 0.35315227 0.01466183 0.49683221
 0.         0.04021286]","[8.70615637e-01 4.53963876e-01 1.93532932e-01 3.83808202e-01
 5.34365195e-02 5.93302177e-01 3.18934564e-05 1.12428902e-01]",0.14059305695602686,"[ 0.75406355 -0.69462764 -0.7368193  -0.70983218 -0.70835971 -0.70206746
 -9.94999896 -0.6798537 ]","[7.866181805906631, 1.5169161446237105, 0.047650651967258456, 1.0145762414214237, 1.1399522540028058, 1.20482896234334, 0.9888356246100706, 4.971398983888724, 1.9514806645344225, 3.1567748533704334, 2.539091517747715, 5.917247866866835, 1.7856298183840027, 6.589957589302264, 0.23663092787751377, 0.8054914134310259, 0.4287335211543177, 0.6487530858250882, 0.2696084121310168, 3.0924220404382603, 10.329841201296235, 0.7724870615983557, 2.033321844238827, 5.063319616564033, 3.887597255447658, 3.57012476589173, 0.27331598036740906]",2.670450744638189,-2.535172633195853
