iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.43549503e-01 6.06774735e-01 3.22914848e-01 7.80050358e-01
 4.58136499e-01 3.82911469e-01 3.86590985e-05 1.86870922e-01]",0.29355536037962626,"[ 0.03320672  0.11607345  0.01228335 -0.01332416  0.01764509 -0.05675905
 -9.95       -0.07372651]","[9.902261464260167, 4.972264534581405, 7.746998791018566, 0.04080080620380431, 1.5901159381824128, 6.041683000539685, 8.587553331020807, 10.141272471539134, 16.47425431369869, 14.87188004477492, 7.4835276025079605, 18.60885587035973, 0.7561673069857225, 17.04086650935076, 0.34650431575706037, 19.753670119116343, 8.862194945844601, 20.412468267271013, 0.40163940055236697, 7.747922800556342, 15.105229385067544, 8.946612574774486]",9.356124717907432,-2.905344189809973
2,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.45113899e-01 6.06727464e-01 3.15246933e-01 7.77403733e-01
 4.59715499e-01 3.80365317e-01 3.78726727e-05 1.80806841e-01]",0.2831572050910729,"[ 0.08316737  0.1660735  -0.03765698 -0.06328028  0.06759554 -0.10671572
 -9.94999989 -0.12365587]","[5.932431646669742, 0.10370979795345318, 7.227254362002625, 0.04080080620380431, 0.5849407196056762, 5.275678559306653, 8.921714649187791, 9.638710214634248, 1.293081686218778, 3.1619443647872765, 6.8324499625770425, 1.2496556972812092, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 8.057556051675594, 0.6073707627028926, 0.40163940055236697, 5.336468743668942, 2.699254720912087, 8.570548536924367]",3.570389323681306,-2.871647196896235
3,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.46677336e-01 6.06820128e-01 3.07625116e-01 7.74843540e-01
 4.61293329e-01 3.77816708e-01 3.70949622e-05 1.74865661e-01]",0.2728728060353079,"[ 0.13306099  0.21606839 -0.087495   -0.11316364  0.1174611  -0.15659832
 -9.9499997  -0.17346504]","[3.553714609322276, 0.10370979795345318, 4.773495853380182, 0.04080080620380431, 0.5849407196056762, 2.8018046441055855, 6.481574378897045, 7.192949936410733, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 8.057556051675594, 0.6073707627028926, 0.40163940055236697, 5.336468743668942, 0.26941383468510866, 6.140815287146164]",2.5181445823696333,-2.839081504901217
4,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.48237090e-01 6.07053767e-01 3.00068818e-01 7.72375688e-01
 4.62868557e-01 3.75272573e-01 3.63260859e-05 1.69059802e-01]",0.2627246759641313,"[ 0.18285894  0.26604871 -0.13718612 -0.16294598  0.16720471 -0.20637488
 -9.94999944 -0.22310302]","[3.553714609322276, 0.10370979795345318, 2.3277180880544095, 0.04080080620380431, 1.3123329690983387, 0.6084386877139369, 6.481574378897045, 4.758560203468907, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 5.613028809189499, 0.6073707627028926, 0.40163940055236697, 5.856791714773736, 0.26941383468510866, 3.723684911090538]",2.03235022543311,-2.8076602793886245
5,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.49790491e-01 6.07428240e-01 2.92596722e-01 7.70005200e-01
 4.64439777e-01 3.72739720e-01 3.55663281e-05 1.63400354e-01]",0.2527340149096681,"[ 0.23253172  0.31600065 -0.18668408 -0.2126      0.21678767 -0.25601237
 -9.94999912 -0.27251766]","[3.553714609322276, 0.10370979795345318, 2.3277180880544095, 0.04080080620380431, 1.3123329690983387, 0.6084386877139369, 6.481574378897045, 4.758560203468907, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 5.613028809189499, 0.6073707627028926, 0.40163940055236697, 5.856791714773736, 0.26941383468510866, 3.723684911090538]",2.03235022543311,-2.777392731783385
6,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.51334939e-01 6.07942204e-01 2.85226574e-01 7.67736160e-01
 4.66005594e-01 3.70224759e-01 3.48161212e-05 1.57897008e-01]",0.24292055642536928,"[ 0.2820491   0.36590582 -0.23594112 -0.26209962  0.26616962 -0.30547693
 -9.94999872 -0.32165608]","[3.553714609322276, 0.10370979795345318, 2.3277180880544095, 0.04080080620380431, 1.3123329690983387, 0.6084386877139369, 6.481574378897045, 4.758560203468907, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 5.613028809189499, 0.6073707627028926, 0.40163940055236697, 5.856791714773736, 0.26941383468510866, 3.723684911090538]",2.03235022543311,-2.748284093307661
7,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.52867921e-01 6.08593106e-01 2.77975002e-01 7.65571662e-01
 4.67564612e-01 3.67734031e-01 3.40760271e-05 1.52558007e-01]",0.23330245396742544,"[ 0.33138025  0.41574109 -0.28490831 -0.31142023  0.31530865 -0.35473403
 -9.94999826 -0.37046499]","[3.553714609322276, 0.10370979795345318, 2.3277180880544095, 0.04080080620380431, 1.3123329690983387, 0.6084386877139369, 6.481574378897045, 4.758560203468907, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 5.613028809189499, 0.6073707627028926, 0.40163940055236697, 5.856791714773736, 0.26941383468510866, 3.723684911090538]",2.03235022543311,-2.7203356346240115
8,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.54387017e-01 6.09377195e-01 2.70857368e-01 7.63513783e-01
 4.69115414e-01 3.65273537e-01 3.33467166e-05 1.47390136e-01]",0.22389620709007874,"[ 0.38049385  0.46547849 -0.33353582 -0.36053894  0.36416132 -0.40374871
 -9.94999774 -0.41889111]","[3.553714609322276, 0.10370979795345318, 2.3277180880544095, 0.04080080620380431, 1.3123329690983387, 0.6084386877139369, 6.481574378897045, 4.758560203468907, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 5.613028809189499, 0.6073707627028926, 0.40163940055236697, 5.856791714773736, 0.26941383468510866, 3.723684911090538]",2.03235022543311,-2.693544728286307
9,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.55889915e-01 6.10289543e-01 2.63887656e-01 7.61563562e-01
 4.70656552e-01 3.62848892e-01 3.26289480e-05 1.42398737e-01]",0.21471662521669413,"[ 0.42935827  0.51508506 -0.38177321 -0.40943476  0.41268276 -0.45248579
 -9.94999716 -0.46688156]","[3.553714609322276, 0.10370979795345318, 2.3277180880544095, 0.04080080620380431, 1.3123329690983387, 0.6084386877139369, 6.481574378897045, 4.758560203468907, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 5.613028809189499, 0.6073707627028926, 0.40163940055236697, 5.856791714773736, 0.26941383468510866, 3.723684911090538]",2.03235022543311,-2.6679049501562826
10,"[0.60449499 0.65446749 0.11946619 0.68747509 0.50837203 0.29275298
 0.         0.0469706 ]","[5.57374410e-01 6.11324078e-01 2.57078380e-01 7.59720996e-01
 4.72186536e-01 3.60465281e-01 3.19235456e-05 1.37587748e-01]",0.20577682505517408,"[ 0.47794171  0.56452288 -0.42956981 -0.45808878  0.46082678 -0.50091012
 -9.94999652 -0.51438424]","[3.553714609322276, 0.10370979795345318, 2.3277180880544095, 0.04080080620380431, 1.3123329690983387, 0.6084386877139369, 6.481574378897045, 4.758560203468907, 1.293081686218778, 0.7490085416489627, 4.384371325907979, 0.013109993922206617, 0.7561673069857225, 1.1889528845932131, 0.34650431575706037, 0.32172993078819045, 5.613028809189499, 0.6073707627028926, 0.40163940055236697, 5.856791714773736, 0.26941383468510866, 3.723684911090538]",2.03235022543311,-2.64340621525516
