iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.86606803e-01 5.71075001e-01 3.87814739e-01 6.78732248e-01
 4.69742083e-01 9.32090332e-01 4.04920397e-05 1.50773014e+00]",1.515907723130844,"[-0.01766393 -0.02337514 -0.01886523 -0.06829951 -0.04171427 -0.01592684
 -9.95       -0.06827715]","[7.0813015337022485, 3.535166693109993, 3.707681097702512, 3.378103097679783, 6.4177535987877175, 5.374596037658088, 6.577328981769965, 6.784433424880868, 3.2906325370781744, 7.68132514381759, 5.142966775396419, 6.4559536920919385, 2.026439090665164, 0.64640633512694, 3.9453971424152092, 2.45213102157985, 2.4517215068595917, 8.936025997962036, 1.4035789690982667, 0.3875357899852901, 6.048169178735701, 4.721878075824877, 6.061721897181506, 1.1407129743058102, 4.646483308866399]",4.411817756091278,-2.8366398329997278
2,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.89942233e-01 5.59477415e-01 3.66699881e-01 6.67455992e-01
 4.70159142e-01 8.23494685e-01 3.75879917e-05 1.01907064e+00]",1.0452211008407826,"[ 0.02824017 -0.07332313 -0.06839091 -0.11824394 -0.09172137 -0.06424772
 -9.94999953 -0.11666045]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 6.254767137313881, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.515947375572916, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.530123788643951,-2.725727838875913
3,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.92529691e-01 5.49447240e-01 3.52231132e-01 6.57424906e-01
 4.70578532e-01 7.57273683e-01 3.51252409e-05 7.24838320e-01]",0.7775905170407432,"[ 0.06460983 -0.12319295 -0.11729053 -0.16810259 -0.1417403  -0.11020914
 -9.94999884 -0.16282434]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.19889620950047218, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.3836885122841573,-2.641923052135679
4,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.94581879e-01 5.40136559e-01 3.41586838e-01 6.48004062e-01
 4.70689137e-01 7.16946120e-01 3.32106989e-05 5.42616714e-01]",0.6246600906114506,"[ 0.08552587 -0.17295886 -0.16546323 -0.21784552 -0.19176689 -0.1534921
 -9.94999803 -0.2064688 ]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.414754301469069,-2.575087788644981
5,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.96139506e-01 5.31162176e-01 3.33020088e-01 6.38886877e-01
 4.70239280e-01 6.91033820e-01 3.18489999e-05 4.24724222e-01]",0.5339623663740813,"[ 0.08936226 -0.22259426 -0.21281851 -0.26744182 -0.24178198 -0.19398066
 -9.94999721 -0.2474848 ]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.414754301469069,-2.5192304405720383
6,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.97255274e-01 5.22367243e-01 3.25643148e-01 6.29949883e-01
 4.69188310e-01 6.73246866e-01 3.09683233e-05 3.46035143e-01]",0.4773913920188055,"[ 0.07905562 -0.27207143 -0.25926087 -0.31685941 -0.29175101 -0.23165721
 -9.94999644 -0.28588574]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.414754301469069,-2.47082006376047
7,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.98018121e-01 5.13705179e-01 3.18996773e-01 6.21162230e-01
 4.67633481e-01 6.60303511e-01 3.04597955e-05 2.92248977e-01]",0.4396193633246065,"[ 0.0584699  -0.32136177 -0.304684   -0.36606534 -0.34162706 -0.26655021
 -9.94999579 -0.32176007]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.414754301469069,-2.427727605548873
8,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.98517254e-01 5.05177005e-01 3.12837381e-01 6.12532293e-01
 4.65707541e-01 6.50451331e-01 3.02279742e-05 2.54657542e-01]",0.41230383585161506,"[ 0.03059702 -0.37043622 -0.34896905 -0.4150262  -0.39135458 -0.29871082
 -9.94999527 -0.35523768]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.414754301469069,-2.388638926243852
9,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.98823748e-01 4.96799095e-01 3.07038204e-01 6.04079678e-01
 4.63529588e-01 6.42707050e-01 3.02055110e-05 2.27794001e-01]",0.39096312907454644,"[-2.52775539e-03 -4.19265647e-01 -3.91985090e-01 -4.63708590e-01
 -4.40872571e-01 -3.28203041e-01 -9.94999490e+00 -3.86467712e-01]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.414754301469069,-2.3527171343248487
10,"[0.79274377 0.22577344 0.26650955 0.36147034 0.40261125 0.62645766
 0.         0.10579668]","[7.98989882e-01 4.88589810e-01 3.01535736e-01 5.95823692e-01
 4.61193906e-01 6.36486535e-01 3.03475215e-05 2.08172781e-01]",0.3731931918746579,"[-0.03953293 -0.46782114 -0.43359083 -0.51207946 -0.49011708 -0.3550997
 -9.94999469 -0.41560489]","[0.5056322916667204, 0.20059872709432014, 0.487348569594017, 1.652533396183953, 0.7219044905574555, 3.8094944202732566, 0.7579841838866844, 0.7482528201343882, 3.6945925902783263, 1.1509146042219605, 0.14201644628698526, 2.076982913241497, 2.899958250816102, 3.725071992549881, 0.4740199299178776, 0.9755409391232645, 0.9967324848300981, 0.407427314192644, 5.051203745594374, 1.700656054342258, 0.6615962810542411, 0.4400436891668993, 0.4067781495327097, 0.9753399550417685, 0.7062332971450495]",1.414754301469069,-2.319409089828206
