iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.60985591e-01 5.97363632e-01 2.94274156e-01 6.69724314e-01
 5.91328073e-01 2.21736295e-01 5.89243064e-05 3.39365432e-01]",0.5213965359741854,"[ 0.11694367 -0.09557759  0.02639776 -0.0323037  -0.10907883  0.01774765
 -9.95       -0.02911485]","[3.9814269154807866, 6.50158930761193, 8.589364238875223, 0.7259349882256009, 10.015027200962878, 3.82767484362854, 5.4059338214152195, 7.992463690409313, 3.349008527857823, 8.620812031708212, 10.164497036612277, 8.900132581561982, 15.460507518221524, 1.7833941647110876, 8.363531721072064, 1.0095967224405753, 3.8555233228002868, 10.121926082326002, 7.250014290059513, 1.3555912007889244, 1.1817910330424841, 9.166783661698084, 8.390088516419206, 7.670490585535193, 1.7600963918344759, 12.434713113761179]",6.4568428272715535,-2.6992179078456355
2,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.63105410e-01 5.87760422e-01 2.69992917e-01 6.59497281e-01
 5.81666562e-01 1.99939401e-01 5.93872792e-05 2.95661772e-01]",0.46633771505894916,"[ 0.16685831 -0.14548276 -0.02331225 -0.08218962 -0.15891622 -0.03205069
 -9.95000008 -0.07881751]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 2.6632611573998313, 5.4059338214152195, 1.4134281514816467, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 0.6550804045881324, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.113819928965469]",2.0790723183918614,-2.640094643558854
3,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.64965658e-01 5.78492122e-01 2.47353160e-01 6.49761166e-01
 5.72361243e-01 1.79626251e-01 5.97705993e-05 2.56325627e-01]",0.4161474527366349,"[ 0.21664117 -0.195227   -0.07250768 -0.13188282 -0.20846939 -0.08150321
 -9.95000019 -0.12801206]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 2.6632611573998313, 5.4059338214152195, 1.4134281514816467, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1348437554938697,-2.5870359687298157
4,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.66576726e-01 5.69560933e-01 2.26512706e-01 6.40524761e-01
 5.63521073e-01 1.60938048e-01 6.00712642e-05 2.21425446e-01]",0.3709572136738495,"[ 0.26625477 -0.24474245 -0.12094727 -0.18130378 -0.25761081 -0.13046443
 -9.95000033 -0.17648978]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 5.053932469986563, 5.4059338214152195, 0.3898459935051531, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1874241075942638,-2.53967046344573
5,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.67956849e-01 5.60960251e-01 2.07547247e-01 6.31780321e-01
 5.55227909e-01 1.43942162e-01 6.02911427e-05 1.90850109e-01]",0.3306878112231857,"[ 0.31567068 -0.29395972 -0.16838001 -0.23037277 -0.30621072 -0.17879245
 -9.95000046 -0.22405287]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 5.053932469986563, 5.4059338214152195, 0.3898459935051531, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1874241075942638,-2.4975733313516333
6,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.69129368e-01 5.52678197e-01 1.90459716e-01 6.23508301e-01
 5.47535455e-01 1.28640296e-01 6.04357756e-05 1.64349818e-01]",0.29509363921252996,"[ 0.36486882 -0.34280806 -0.2145528  -0.27901027 -0.3541409  -0.22635328
 -9.95000059 -0.27052187]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 5.053932469986563, 5.4059338214152195, 0.3898459935051531, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1874241075942638,-2.4602900247873993
7,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.70120152e-01 5.44700667e-01 1.75194344e-01 6.15682065e-01
 5.40471031e-01 1.14981032e-01 6.05131181e-05 1.41582045e-01]",0.2638142755996454,"[ 0.4138365  -0.39121544 -0.25921808 -0.32713721 -0.40127818 -0.27302448
 -9.9500007  -0.31574101]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 5.053932469986563, 5.4059338214152195, 0.3898459935051531, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1874241075942638,-2.427357621847602
8,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.70955467e-01 5.37013607e-01 1.61652380e-01 6.08271912e-01
 5.34039230e-01 1.02874007e-01 6.05324016e-05 1.22154587e-01]",0.23642440463162834,"[ 0.46256721 -0.43910869 -0.30214098 -0.37467514 -0.44750751 -0.31869781
 -9.95000078 -0.35958132]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 5.053932469986563, 5.4059338214152195, 0.3898459935051531, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1874241075942638,-2.398322306789179
9,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.71660404e-01 5.29604462e-01 1.49707118e-01 6.01248098e-01
 5.28226533e-01 9.22035509e-02 6.05032141e-05 1.05660896e-01]",0.21247610668890307,"[ 0.5110593  -0.48641367 -0.34310545 -0.4215464  -0.49272449 -0.36328091
 -9.95000083 -0.40194167]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 5.053932469986563, 5.4059338214152195, 0.3898459935051531, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1874241075942638,-2.3727522798575467
10,"[8.03332934e-01 4.23753002e-01 1.02436905e-01 5.10060256e-01
 4.76044197e-01 2.56640198e-43 0.00000000e+00 0.00000000e+00]","[7.72257869e-01 5.22462903e-01 1.39216811e-01 5.94582823e-01
 5.23006053e-01 8.28404519e-02 6.04348272e-05 9.17058457e-02]",0.19153081266996339,"[ 0.55931484 -0.53305548 -0.38191903 -0.46767419 -0.53683712 -0.40669803
 -9.95000083 -0.44274811]","[6.5412039268546245, 0.48177791369915757, 0.8251361116009218, 0.7259349882256009, 4.542911099526791, 5.053932469986563, 5.4059338214152195, 0.3898459935051531, 1.8969609418659168, 0.8763127689309069, 6.90640433900766, 0.20445328111593353, 4.861704635761984, 0.525347867342005, 0.2896324247150075, 1.0095967224405753, 0.21448352011630603, 2.0079076056151246, 0.030886867768279008, 4.1745700717162695, 0.8985138473625918, 4.873232437308095, 0.39753821763302954, 0.95720490330253, 0.5705499280439056, 2.211050092590701]",2.1874241075942638,-2.350246208397034
