iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.33220479e-01 5.65251594e-01 3.62139388e-01 6.02374317e-01
 4.91373962e-01 5.95301946e-01 3.38508854e-05 1.86327447e-01]",0.48745306378930936,"[ 0.0553449  -0.11219357 -0.03806672 -0.04034891 -0.01775565 -0.11802439
 -9.95       -0.09420659]","[2.2547568799390567, 3.568375207786534, 0.195513124840028, 3.785830976928343, 0.35194157742476256, 3.7163251794297185, 1.084039708704876, 0.537779439019424, 3.7273323919085395, 0.18924543466203547, 2.252659660166825, 3.201573804720776, 3.271978642173347, 2.7954682347466666, 3.269000118081022, 3.8478945607216493, 0.5638754621413343, 3.536291840920497, 3.400964262391267, 0.03653961244774914, 3.6244930291572826, 3.7096731778721486, 3.5590285663368832, 2.357328894812811, 0.31545743113661345, 1.3143689285610707, 0.5952130061542665]",2.261590709377242,-2.9115486694819817
2,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.35394002e-01 5.55489289e-01 3.47175126e-01 5.93263105e-01
 4.86563481e-01 5.87613169e-01 3.40161312e-05 1.75422288e-01]",0.4649937670665609,"[ 0.10525643 -0.16213886 -0.08795245 -0.090296   -0.06766966 -0.16598741
 -9.95000003 -0.14407472]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 4.152504526236288, 0.35194157742476256, 2.258565216376001, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 1.937578644456209, 3.271978642173347, 3.3403370529319254, 2.971704702194081, 3.8478945607216493, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 3.6244930291572826, 3.2716660077309307, 0.7278625625332564, 2.357328894812811, 0.31545743113661345, 1.3143689285610707, 0.5952130061542665]",1.724739926846556,-2.8586722750717306
3,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.37434263e-01 5.45873067e-01 3.32769293e-01 5.84323379e-01
 4.81741206e-01 5.80496761e-01 3.41119042e-05 1.65344790e-01]",0.44346647981714843,"[ 0.15502218 -0.2119914  -0.13764291 -0.14015378 -0.11743282 -0.20883882
 -9.95000006 -0.19372499]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 3.835377206172173, 3.2716660077309307, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.5608688306539593,-2.8088049164397466
4,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.39328728e-01 5.36422582e-01 3.19039468e-01 5.75573781e-01
 4.76900698e-01 5.74162578e-01 3.41278879e-05 1.56169380e-01]",0.42294162487066966,"[ 0.20458809 -0.26171222 -0.18705586 -0.18988536 -0.16697375 -0.24199835
 -9.95000008 -0.2430772 ]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 1.5195900794990251, 3.2716660077309307, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.4750989370734726,-2.7618372721726736
5,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.41063178e-01 5.27152214e-01 3.06112345e-01 5.67028805e-01
 4.72018438e-01 5.68891694e-01 3.40481242e-05 1.47985158e-01]",0.4034690882477755,"[ 0.25390535 -0.31126168 -0.23611041 -0.23945354 -0.21621298 -0.26135869
 -9.95000007 -0.2920614 ]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 1.5195900794990251, 3.2716660077309307, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.4750989370734726,-2.7175742806325354
6,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.42630025e-01 5.18069525e-01 2.94064714e-01 5.58694977e-01
 4.67075791e-01 5.64890541e-01 3.38594799e-05 1.40825559e-01]",0.3850355817623226,"[ 0.30293189 -0.36059955 -0.28472919 -0.28882105 -0.26506145 -0.26608864
 -9.95       -0.34062098]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 1.283326117939621, 3.2716660077309307, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.4663484199786796,-2.6757513365961954
7,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.44036635e-01 5.09177821e-01 2.82870104e-01 5.50570882e-01
 4.62089847e-01 5.62119013e-01 3.35635917e-05 1.34602631e-01]",0.36755153207029506,"[ 0.35163246 -0.40968521 -0.33283876 -0.3379506  -0.31342053 -0.25831797
 -9.94999986 -0.38871206]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 1.283326117939621, 0.8201725927242424, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.3755523675710246,-2.6361272276318135
8,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.45300456e-01 5.00481114e-01 2.72437067e-01 5.42653315e-01
 4.57109394e-01 5.60347073e-01 3.31752718e-05 1.29153412e-01]",0.3509048566359157,"[ 0.3999778  -0.45847773 -0.38036893 -0.38680498 -0.36118348 -0.24093277
 -9.94999962 -0.43630042]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 1.283326117939621, 0.8201725927242424, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.3755523675710246,-2.598549980543002
9,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.46439522e-01 4.91985968e-01 2.62674558e-01 5.34941841e-01
 4.52189676e-01 5.59318344e-01 3.27127620e-05 1.24321114e-01]",0.33500898267499135,"[ 0.44794387 -0.50693615 -0.4272521  -0.43534722 -0.40823753 -0.21637415
 -9.94999929 -0.48335868]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 1.283326117939621, 0.8201725927242424, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.3755523675710246,-2.5629365456351736
10,"[0.97530564 0.28679088 0.12911946 0.33492346 0.39697776 0.57552653
 0.         0.03411378]","[9.47468667e-01 4.83700531e-01 2.53515847e-01 5.27438979e-01
 4.47378289e-01 5.58826977e-01 3.21923750e-05 1.19985537e-01]",0.3198093835160104,"[ 0.49551122 -0.5550197  -0.47342317 -0.48354079 -0.45446587 -0.1864504
 -9.94999885 -0.52986434]","[2.2547568799390567, 0.7577081371568121, 0.195513124840028, 1.6955046500133761, 0.35194157742476256, 0.3915677893462375, 3.3429372123952867, 0.537779439019424, 1.3013336633854224, 0.18924543466203547, 2.252659660166825, 0.9082589216785492, 0.42891198437601086, 3.3403370529319254, 2.971704702194081, 4.014828395473734, 0.5638754621413343, 0.7408898551665327, 0.05584476093600388, 0.03653961244774914, 1.283326117939621, 0.8201725927242424, 0.7278625625332564, 4.819897451576375, 1.24693494923364, 1.3143689285610707, 0.5952130061542665]",1.3755523675710246,-2.529232068723862
