iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.18564677e+00 5.86051491e-01 6.00857770e-01 6.94491726e-01
 3.56084542e-01 6.41563541e-01 3.59833758e-05 2.80501532e-01]",0.6282725744137485,"[ 0.13246885 -0.02003845 -0.0541361  -0.09232329 -0.05678578 -0.04751132
 -9.95       -0.07121258]","[12.023053897894462, 6.070490562070281, 2.686219652530775, 0.5378852719642069, 0.5019635014288868, 0.13795279521700918, 5.129147180899941, 1.9310759933832224, 1.0924014855284079, 4.94706247670998, 0.9852595664416798, 4.5579219329508005, 3.771521373565016, 5.1675838969389645, 0.7039951285603606, 0.35707077886976735, 1.4950034789955204, 1.3517931865274937, 2.1389778512115014, 4.763986190834149, 3.139809036243128, 0.04390470132042156, 0.816925169068219, 11.053739534787208, 0.14129251429923034, 5.260316155384099]",3.1079366659086434,-2.8599653596849084
2,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.18846357e+00 5.77426588e-01 5.68883578e-01 6.85025368e-01
 3.55980512e-01 6.29373031e-01 3.64925280e-05 2.65731083e-01]",0.5894560268105679,"[ 0.182406   -0.06929099 -0.10402649 -0.14216077 -0.1067618  -0.0974154
 -9.95000009 -0.121111  ]","[2.24447880647759, 2.0682284059694807, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.0924014855284079, 4.94706247670998, 0.3881451429280408, 2.110222756087603, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 1.3517931865274937, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 0.14129251429923034, 5.260316155384099]",2.415606125430534,-2.8011856796993078
3,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.19111693e+00 5.69035495e-01 5.37611609e-01 6.75830483e-01
 3.55812513e-01 6.17409624e-01 3.69103455e-05 2.51526706e-01]",0.5516946468591497,"[ 0.23224048 -0.11693734 -0.15372701 -0.19171162 -0.15668097 -0.14715387
 -9.95000021 -0.17083707]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 0.3881451429280408, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 1.3517931865274937, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.4034589226677436,-2.746484986221079
4,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.19360203e+00 5.60961139e-01 5.07245555e-01 6.66983995e-01
 3.55590721e-01 6.05754133e-01 3.72284370e-05 2.37948897e-01]",0.5152364170848579,"[ 0.28193481 -0.16171783 -0.20315323 -0.24084192 -0.20649857 -0.19665391
 -9.95000035 -0.22031911]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 0.3881451429280408, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 1.3517931865274937, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.4034589226677436,-2.6958094064436144
5,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.19591683e+00 5.53315393e-01 4.77962655e-01 6.58584478e-01
 3.55325324e-01 5.94477172e-01 3.74380563e-05 2.25047450e-01]",0.4803001738796667,"[ 0.3314544  -0.20191525 -0.25221785 -0.28941176 -0.25615896 -0.24584063
 -9.95000049 -0.2694857 ]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 0.3881451429280408, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 1.3517931865274937, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.4034589226677436,-2.6490512722744097
6,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.19806242e+00 5.46242120e-01 4.49909095e-01 6.50754000e-01
 3.55026507e-01 5.83636961e-01 3.75301201e-05 2.12860395e-01]",0.44706640885688004,"[ 0.38076795 -0.23548012 -0.300832   -0.33728165 -0.305597   -0.29463825
 -9.95000061 -0.31826693]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 0.3881451429280408, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 3.8424477453284855, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.499253328775474,-2.606039899999798
7,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.20004388e+00 5.39905183e-01 4.23197563e-01 6.43627516e-01
 3.54704812e-01 5.73278131e-01 3.74964476e-05 2.01412147e-01]",0.415667325668066,"[ 0.42984768 -0.26045882 -0.34890668 -0.38432123 -0.35473992 -0.34297123
 -9.95000067 -0.36659557]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 2.0635800483975872, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 3.8424477453284855, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.5636931328319954,-2.5665369304346064
8,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.20187118e+00 5.34452816e-01 3.97907516e-01 6.37323188e-01
 3.54371683e-01 5.63432008e-01 3.73327267e-05 1.90710834e-01]",0.38617905508389594,"[ 0.47866924 -0.27559966 -0.39635414 -0.43041888 -0.40351037 -0.39076538
 -9.95000066 -0.41440806]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 0.3881451429280408, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 3.8424477453284855, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.499253328775474,-2.5302474967715227
9,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.20355913e+00 5.29970022e-01 3.74087986e-01 6.31903888e-01
 3.54039520e-01 5.54118346e-01 3.70419472e-05 1.80746711e-01]",0.35862185876984237,"[ 0.52721142 -0.28071292 -0.44308921 -0.47548918 -0.45183059 -0.4379489
 -9.95000055 -0.46164533]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 0.3881451429280408, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 3.8424477453284855, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 3.2623294125924454, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.499253328775474,-2.4968536482787482
10,"[1.25780383 0.54825186 0.08707675 0.58149516 0.34763137 0.42342932
 0.         0.02811728]","[1.20512559e+00 5.26453186e-01 3.51761473e-01 6.27358018e-01
 3.53720741e-01 5.45347526e-01 3.66354719e-05 1.71494271e-01]",0.33297098990522545,"[ 0.57545561 -0.27652556 -0.48903064 -0.51947628 -0.49962745 -0.48445335
 -9.95000032 -0.5082532 ]","[2.24447880647759, 1.2205941809892804, 0.19907751948612723, 3.3952137996318354, 4.414538241484914, 5.01195669025001, 5.129147180899941, 1.8345785794094083, 1.359935524530168, 4.94706247670998, 0.3881451429280408, 0.33739230712050666, 1.1551937346849088, 0.3708805620622823, 0.7039951285603606, 3.328386244628658, 5.8538298257317924, 1.3517931865274937, 0.29569204874849, 0.8480820093993092, 1.975290825502271, 4.08583566509797, 1.2740718727198586, 1.337790863111237, 2.1783958774122114, 5.260316155384099]",2.32698747882649,-2.466056209148111
