iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.52901554e-01 4.66614172e-01 3.65507499e-01 3.08744612e-01
 3.94610047e-01 3.79047174e-01 5.47717037e-05 2.01814444e-01]",0.5265552483422095,"[ 0.0867853   0.02368632 -0.06577756 -0.08892644  0.05893152 -0.09091291
 -9.95        0.02499582]","[0.4283574228300735, 3.9482574783870232, 4.908104364511289, 5.2220671230620415, 4.745843912334588, 5.258597842798305, 1.235119215683122, 0.8955764883824736, 1.9278408692794617, 2.0060501430106794, 3.6252201893312783, 12.054269188315368, 5.955428899264962, 2.540737821203831, 1.1728741155592677, 5.811897239971641, 5.116388786875925, 0.977912699662116, 0.7987289355008621, 3.371238079551069, 2.326317416077806, 1.4216912094297467, 1.8659762359513898, 0.664398045327033, 0.9866545623385773, 1.051087727584144, 6.541984035814709, 5.001512820380493, 3.5014621817428053]",3.2883308637986928,-2.731305158768028
2,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.53920454e-01 4.62583980e-01 3.47570756e-01 3.05801074e-01
 3.97412189e-01 3.56363331e-01 5.47232627e-05 1.88974698e-01]",0.4945654214582827,"[ 0.13675437 -0.0260017  -0.11567033 -0.13884293  0.10884809 -0.14080857
 -9.94999999 -0.02488484]","[0.40012793196518465, 3.9482574783870232, 2.2090231110929666, 3.0524413973553566, 2.297089348930063, 2.0581503641954044, 1.235119215683122, 0.5243338868572436, 1.9278408692794617, 2.0060501430106794, 0.903043036817412, 0.7727678314117306, 0.5834490958839735, 0.3360348307056429, 1.1728741155592677, 3.3840913783502247, 1.9012802809872424, 1.952921589937376, 0.9707534692389046, 3.371238079551069, 1.4228158038260903, 1.4216912094297467, 1.8659762359513898, 0.664398045327033, 0.9866545623385773, 1.051087727584144, 1.7685865224274346, 0.741233533093857, 1.210603827382848]",1.5910322387089817,-2.6798249396024847
3,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.54877231e-01 4.58638747e-01 3.29984707e-01 3.02894921e-01
 4.00185334e-01 3.34224394e-01 5.46387643e-05 1.76564011e-01]",0.4633624702943991,"[ 0.18667375 -0.07509917 -0.16537706 -0.18861529  0.15862033 -0.19052431
 -9.94999997 -0.07456023]","[0.40012793196518465, 0.38750731214253026, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 1.2663755942608452, 2.9513418888932006, 1.9278408692794617, 1.3720302789394785, 0.903043036817412, 1.5756816458097833, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 1.01617249085111, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 0.8461077896480328, 0.9866545623385773, 1.051087727584144, 1.7685865224274346, 0.741233533093857, 1.210603827382848]",1.4889684417128735,-2.6316236041840857
4,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.55775197e-01 4.54797406e-01 3.12860694e-01 3.00041153e-01
 4.02916743e-01 3.12760262e-01 5.45142400e-05 1.64644964e-01]",0.43313114963991894,"[ 0.23652609 -0.12326234 -0.21481463 -0.23817987  0.20818393 -0.23998128
 -9.94999992 -0.12394114]","[0.40012793196518465, 0.38750731214253026, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 6.126305658120948, 5.364868328102122, 1.9278408692794617, 1.3720302789394785, 0.903043036817412, 3.2961966038559973, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 0.8004984917474461, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 4.308714420629163, 0.9866545623385773, 3.4328988283861293, 1.7685865224274346, 2.0107300180099466, 1.210603827382848]",2.0369757409787623,-2.5866716175897144
5,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.56618521e-01 4.51080628e-01 2.96298704e-01 2.97255400e-01
 4.05594920e-01 2.92084691e-01 5.43458950e-05 1.53270115e-01]",0.4040344448082169,"[ 0.28629546 -0.17007355 -0.26389669 -0.28747078  0.25747165 -0.28909844
 -9.94999984 -0.17293642]","[0.40012793196518465, 0.38750731214253026, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 6.126305658120948, 5.364868328102122, 1.9278408692794617, 1.1323017210922763, 0.903043036817412, 3.2961966038559973, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 0.8004984917474461, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 4.308714420629163, 0.9866545623385773, 5.9154337279896225, 1.7685865224274346, 2.0107300180099466, 1.210603827382848]",2.114313890694496,-2.544911583876191
6,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.57412065e-01 4.47511080e-01 2.80384810e-01 2.94553842e-01
 4.08209988e-01 2.72292792e-01 5.41299823e-05 1.42480780e-01]",0.37620969936210236,"[ 0.3359672  -0.21503631 -0.31253497 -0.33642087  0.30641387 -0.33779388
 -9.94999972 -0.22145449]","[0.40012793196518465, 0.05388104682486482, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 6.126305658120948, 5.364868328102122, 1.9278408692794617, 1.1323017210922763, 0.903043036817412, 3.2961966038559973, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 0.8004984917474461, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 4.308714420629163, 0.9866545623385773, 5.9154337279896225, 1.2922824135957989, 2.0107300180099466, 1.210603827382848]",2.0863852571031414,-2.506259240165456
7,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.58161205e-01 4.44113496e-01 2.65189347e-01 2.91953046e-01
 4.10753960e-01 2.53459423e-01 5.38627070e-05 1.32306408e-01]",0.34976593249303595,"[ 0.38552782 -0.257578   -0.36064069 -0.38496294  0.35493916 -0.38598607
 -9.94999954 -0.26940489]","[0.40012793196518465, 0.05388104682486482, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 6.126305658120948, 5.364868328102122, 1.9278408692794617, 1.1323017210922763, 0.903043036817412, 3.2961966038559973, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 0.8004984917474461, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 4.308714420629163, 0.9866545623385773, 5.9154337279896225, 1.2922824135957989, 2.0107300180099466, 1.210603827382848]",2.0863852571031414,-2.4706051364954997
8,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.58871647e-01 4.40914403e-01 2.50765907e-01 2.89469686e-01
 4.13220905e-01 2.35638526e-01 5.35402069e-05 1.22764547e-01]",0.32478245940297723,"[ 0.43496483 -0.29706489 -0.40812596 -0.43303123  0.40297479 -0.43359523
 -9.94999929 -0.31669977]","[0.40012793196518465, 0.05388104682486482, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 6.126305658120948, 5.364868328102122, 1.9278408692794617, 1.1323017210922763, 0.903043036817412, 3.2961966038559973, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 0.8004984917474461, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 4.308714420629163, 0.9866545623385773, 5.9154337279896225, 1.2922824135957989, 2.0107300180099466, 1.210603827382848]",2.0863852571031414,-2.4378169882254968
9,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.59549264e-01 4.37941314e-01 2.37151164e-01 2.87120050e-01
 4.15606978e-01 2.18863433e-01 5.31586681e-05 1.13861380e-01]",0.301308820992657,"[ 0.48426653 -0.33283343 -0.45490518 -0.48056299  0.45044724 -0.48054451
 -9.94999897 -0.36325535]","[0.40012793196518465, 0.05388104682486482, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 6.126305658120948, 5.364868328102122, 1.9278408692794617, 1.1323017210922763, 0.903043036817412, 3.2961966038559973, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 0.8004984917474461, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 4.308714420629163, 0.9866545623385773, 5.9154337279896225, 1.2922824135957989, 2.0107300180099466, 1.210603827382848]",2.0863852571031414,-2.4077427362892836
10,"[9.02415512e-01 4.36127004e-01 7.20796336e-02 2.49312935e-01
 4.51243205e-01 3.03452491e-43 0.00000000e+00 8.51877439e-03]","[8.60199945e-01 4.35221267e-01 2.24365469e-01 2.84919317e-01
 4.17910335e-01 2.03148050e-01 5.27146180e-05 1.05592749e-01]",0.27936595044697343,"[ 0.53342178 -0.36423823 -0.5008964  -0.52750026  0.49728264 -0.52676114
 -9.94999856 -0.4089931 ]","[0.40012793196518465, 0.05388104682486482, 2.2090231110929666, 3.0524413973553566, 0.4333342725235882, 1.6033152417390861, 6.126305658120948, 5.364868328102122, 1.9278408692794617, 1.1323017210922763, 0.903043036817412, 3.2961966038559973, 0.5834490958839735, 2.3823278708255953, 0.4545626768974098, 0.9819282066396411, 1.9012802809872424, 1.952921589937376, 5.531300460669061, 0.8004984917474461, 0.15174409421725846, 1.4216912094297467, 2.1163702900411225, 4.308714420629163, 0.9866545623385773, 5.9154337279896225, 1.2922824135957989, 2.0107300180099466, 1.210603827382848]",2.0863852571031414,-2.3802143945918646
